F1,F3,F4,F5,F8,F9,F10,F11,F12,F13,EXPOSURE,Predicted_number_of_claims
F,14,8,2,M1,S3,M1,L2,D,0,7.91,1
P,5,2,2,M2,S1,M2,L1,B,0,1,0
F,1,0,2,M1,S1,M1,L1,D,2,17.89,0
F,9,10,2,H1,S1,M3,L2,D,0,6.78,0
F,14,2,2,H2,S1,M3,L2,D,2,1.17,0
F,12,6,2,M1,S0,M1,L3,D,0,5,0
P,2,0,2,M2,S2,M2,L2,D,2,2,0
P,4,0,2,M1,S2,M1,L1,B,2,1,0
F,6,0,2,H1,S1,M2,L2,D,3,2,0
F,1,6,2,H1,S3,M2,L2,D,2,2,0
F,4,10,3,M2,S1,M2,L2,D,0,12.09,0
F,5,8,2,M1,S2,M3,L3,B,0,1,0
F,1,2,2,H1,S2,M1,L2,D,0,1,0
F,8,20,2,M1,S1,M1,L1,B,0,24.94,1
F,14,20,2,C,S3,M1,L2,D,0,3.45,0
F,1,6,3,M2,S2,M2,L2,D,1,3.13,0
F,1,6,2,M1,S2,M0,L2,B,1,2,0
P,13,0,2,M2,S5,M2,L1,B,0,0.42,0
F,12,2,3,H1,S2,M3,L2,D,4,1,0
P,1,4,2,H1,S2,M3,L2,D,0,2,0
P,14,4,2,M1,S5,M1,L4,D,0,1,0
P,14,20,2,C,S2,M0,L1,B,0,0.19,0
F,11,0,2,H1,S2,M2,L1,D,3,0.32,0
F,10,6,2,M2,S0,M2,L2,B,0,1,0
F,2,6,2,H2,S3,M3,L2,D,0,1,0
P,1,8,2,M1,S3,M1,L2,B,0,4.68,0
F,12,4,2,M1,S2,M1,L1,D,0,3,0
F,3,4,2,M2,S1,M1,L2,D,2,2,0
F,14,8,2,M2,S0,M2,L2,D,1,2.12,0
F,1,0,2,H2,S2,M2,L3,D,2,1,0
F,12,20,2,C,S0,M0,L2,D,0,1.32,0
P,9,4,2,M1,S5,M1,L1,B,0,1.6,0
F,14,6,2,M2,S2,M2,L2,B,0,3.23,0
F,3,0,2,M1,S1,M1,L3,D,0,2.78,0
F,13,14,2,H1,S0,M3,L2,D,0,1,0
F,14,2,2,M1,S3,M1,L4,D,0,1,0
F,1,10,2,M2,S2,M3,L3,D,0,2.97,0
F,8,14,2,M1,S5,M0,L1,B,0,1,0
F,5,0,2,M1,S2,M2,L1,B,4,1,0
F,7,10,2,M1,S1,M1,L4,B,0,4,0
F,9,20,2,M2,S2,M0,L1,B,0,1,0
F,11,2,2,M2,S2,M2,L3,D,0,3.33,0
P,2,4,2,M2,S5,M1,L1,D,1,1,0
P,13,0,2,M2,S5,M1,L2,D,0,1,0
P,12,2,3,M2,S5,M1,L3,D,0,1,0
F,2,20,2,C,S3,M0,L3,B,0,1,0
F,11,8,2,C,S0,M1,L1,B,0,2,0
F,4,0,2,M1,S2,M2,L2,B,2,1,0
P,13,0,2,H1,S5,M2,L3,D,5,2,0
P,12,10,2,M1,S5,M1,L4,D,0,1,0
F,9,6,2,C,S1,M0,L2,B,0,2.84,0
F,13,8,2,M2,S2,M3,L1,B,0,1,0
F,14,6,2,M2,S3,M1,L3,D,0,1,0
P,9,14,2,M1,S5,M0,L1,B,0,1,0
F,8,2,2,M1,S5,M1,L1,D,0,1,0
F,9,6,2,M2,S0,M2,L2,D,1,1,0
F,14,14,2,H1,S1,M2,L1,D,1,0.4,0
F,3,6,2,M1,S1,M1,L4,D,0,1.1,0
F,11,20,2,H1,S1,M1,L2,D,0,1,0
F,1,2,2,M2,S5,M1,L1,D,0,1,0
F,9,20,2,C,S3,M1,L2,B,0,1.73,0
F,4,0,2,M2,S2,M2,L3,D,0,1,0
F,10,20,2,M2,S2,M2,L1,D,0,1,0
F,2,4,2,H2,S1,M2,L3,D,0,0.61,0
F,9,10,3,M2,S0,M1,L2,D,0,0.43,0
F,9,8,2,C,S3,M0,L1,B,0,2,0
F,5,20,2,M2,S1,M3,L1,B,0,0.4,0
P,1,6,2,M1,S3,M1,L1,B,1,0.69,0
F,1,8,2,H2,S3,M3,L3,D,3,0.21,0
P,14,0,2,C,S5,M1,L1,B,0,0.48,0
F,1,4,2,M2,S1,M1,L1,B,3,1,0
F,5,0,2,M1,S1,M2,L3,B,1,1,0
F,11,8,2,M2,S1,M1,L1,D,1,0.26,0
P,14,4,2,H1,S5,M3,L2,B,1,0.64,0
F,7,14,1,H1,S2,M2,L1,B,0,1,0
F,12,14,2,M1,S5,M1,L1,B,0,1.43,0
F,14,10,2,H1,S3,M3,L2,D,0,1,0
F,11,0,2,M2,S1,M3,L2,D,3,1,0
F,11,14,3,M1,S2,M2,L2,B,0,0.63,0
F,11,4,2,H2,S2,M3,L2,D,0,1,0
P,10,14,2,M2,S1,M2,L2,D,0,1,0
F,3,2,2,H2,S1,M3,L4,D,3,1,0
F,3,8,2,C,S3,M1,L3,B,0,1,0
P,10,10,2,M2,S2,M2,L2,B,1,1,0
P,1,14,2,M2,S1,M2,L1,D,0,1,0
F,1,2,2,H2,S1,M3,L1,B,2,2,0
P,4,14,2,M1,S3,M1,L2,D,0,1,0
F,7,8,2,M1,S1,M2,L3,D,0,1,0
P,6,2,2,M1,S3,M1,L1,B,1,1,0
F,1,4,2,H1,S2,M2,L1,D,4,0.55,0
F,9,0,2,M2,S1,M2,L2,D,0,2,0
F,2,4,2,H1,S5,M3,L2,D,1,0.28,0
F,4,8,2,C,S3,M0,L2,D,0,1,0
F,1,4,2,H2,S1,M2,L2,D,3,1,0
P,4,0,2,H2,S5,M3,L2,D,4,0.25,0
F,10,4,2,M2,S3,M2,L2,D,1,1,0
F,14,4,2,C,S3,M1,L1,D,0,0.15,0
F,11,2,2,H2,S0,M3,L4,D,1,1,0
F,12,2,2,M2,S5,M2,L4,D,0,1,0
F,10,10,2,M1,S3,M0,L2,B,0,1,0
F,4,10,2,C,S2,M0,L4,B,0,1,0
P,1,2,2,M2,S2,M2,L1,D,1,1,0
F,1,2,3,M1,S3,M2,L2,D,0,1,0
P,14,4,2,M2,S1,M2,L1,D,0,1,0
F,1,14,2,C,S3,M1,L1,B,0,1299.85,33
F,6,20,2,C,S2,M2,L2,D,0,0.85,0
F,1,4,2,H1,S2,M3,L1,D,0,10.45,0
F,4,4,2,M1,S3,M1,L2,B,0,46.67,2
F,9,4,2,H1,S2,M2,L2,D,2,2,0
F,1,4,3,M2,S2,M1,L3,D,0,9.11,0
F,14,20,2,C,S3,M1,L1,B,0,17.14,1
F,1,20,3,M1,S3,M0,L1,D,0,9,0
P,9,6,3,H1,S5,M3,L2,D,0,1,0
P,14,0,2,M1,S5,M1,L1,D,0,25.85,1
F,1,0,2,M1,S2,M2,L1,B,4,19,0
F,1,2,2,M1,S5,M1,L2,D,0,5.34,0
F,14,10,2,M2,S3,M2,L2,D,0,17.83,2
F,1,0,2,M2,S3,M2,L1,D,3,20.42,0
P,1,8,2,H1,S5,M3,L2,D,0,8.6,0
F,2,10,2,M2,S2,M2,L3,D,0,21.56,1
F,3,0,2,M2,S1,M1,L2,D,2,5,0
F,4,0,2,M2,S3,M1,L1,D,0,2,0
F,7,14,2,M2,S5,M3,L1,B,0,1,0
P,2,20,2,C,S5,M0,L1,D,0,1,0
F,1,0,2,H2,S3,M3,L2,D,2,7.24,0
F,2,6,2,H2,S2,M3,L2,D,2,3.6,0
F,1,6,1,H1,S2,M3,L2,B,1,2,0
F,1,0,2,M2,S2,M2,L1,E,2,6,0
P,14,8,2,H1,S5,M3,L2,D,0,1.54,0
P,14,6,2,M2,S5,M2,L1,D,0,3.13,0
F,7,0,2,M2,S1,M2,L2,B,3,3,0
F,13,6,2,C,S3,M1,L1,B,0,1,0
F,12,2,2,M2,S2,M1,L2,D,0,1.23,0
F,11,10,2,M2,S2,M1,L1,D,0,4.19,0
F,1,14,2,H1,S2,M3,L2,B,0,19.2,1
F,10,4,2,M2,S2,M2,L4,D,0,2,0
F,3,2,2,M1,S3,M2,L2,B,2,1,0
F,6,10,2,H2,S1,M3,L2,D,1,2.25,0
F,12,8,2,M1,S0,M1,L2,B,1,1.91,0
F,9,8,2,M1,S0,M2,L2,B,0,2,0
F,4,4,2,M1,S3,M1,L2,B,2,1,0
F,2,2,2,M2,S1,M1,L3,D,1,9.52,0
P,1,0,2,H2,S5,M3,L2,D,5,4,0
F,7,6,2,C,S2,M1,L1,B,0,5.18,0
F,12,2,2,M2,S3,M1,L2,D,0,2,0
P,1,0,2,M1,S1,M2,L1,B,0,13.98,0
F,11,0,2,M1,S1,M1,L2,B,3,1,0
F,9,0,2,M2,S1,M3,L1,D,0,1,0
F,8,4,2,M2,S2,M1,L2,D,0,5,0
F,8,14,1,M1,S2,M0,L1,B,0,1,0
F,14,0,2,C,S1,M1,L1,B,0,3.18,0
F,2,4,2,M2,S1,M1,L2,D,1,18.2,0
F,9,6,2,M2,S2,M2,L1,D,1,1,0
P,4,0,2,H1,S5,M2,L1,D,2,0.86,0
F,5,10,2,M2,S2,M2,L3,D,0,9.6,0
F,7,20,2,M1,S3,M0,L2,B,0,1.63,0
F,1,0,2,H1,S5,M3,L2,D,2,0.12,0
F,11,6,2,M2,S1,M2,L3,D,0,10.49,0
F,1,0,2,M2,S1,M2,L3,D,2,9.57,0
F,2,8,2,M1,S0,M0,L1,B,0,1,0
F,7,8,2,M2,S1,M1,L4,D,0,1.46,0
P,14,6,2,M1,S1,M1,L2,B,0,1.62,0
F,12,20,3,C,S1,M0,L1,B,0,2,0
F,6,4,2,M2,S1,M2,L1,D,1,4.75,0
F,9,10,2,M1,S0,M0,L2,D,0,5.33,0
F,4,14,2,M2,S1,M1,L2,B,0,4.19,0
F,5,0,2,M2,S1,M2,L2,D,4,1.41,0
F,4,6,2,M2,S1,M2,L4,D,0,2,0
F,14,6,2,C,S2,M1,L1,B,0,2.67,0
F,7,14,2,M1,S3,M0,L2,D,0,5,0
P,12,10,2,M1,S1,M1,L2,B,0,1,0
F,1,0,2,H2,S2,M3,L3,D,2,2.39,0
F,5,8,2,M2,S1,M2,L3,D,1,0.78,0
F,3,20,2,M1,S5,M1,L1,B,0,0.23,0
F,2,2,2,M2,S3,M1,L2,D,0,9,0
P,4,6,3,H1,S5,M2,L3,D,0,1,0
P,10,0,3,M2,S5,M2,L3,D,1,1,0
F,3,2,2,M2,S1,M3,L1,B,2,1,0
F,12,0,2,H1,S1,M3,L1,D,2,1,0
F,2,0,2,M1,S2,M1,L2,D,2,2.68,0
P,11,2,2,H2,S2,M3,L3,D,2,1,0
F,4,8,2,C,S2,M0,L1,B,0,7.15,0
F,5,8,2,M2,S2,M1,L1,D,0,4,0
F,2,8,2,M1,S2,M0,L2,B,0,1.47,0
F,9,10,2,H1,S1,M3,L2,B,2,1,0
P,12,0,2,M2,S5,M1,L2,D,4,0.39,0
F,5,2,2,H2,S1,M3,L3,D,3,1.6,0
F,5,8,2,M2,S2,M1,L3,B,0,1,0
F,4,4,2,H1,S1,M3,L3,D,2,0.9,0
F,1,14,2,H2,S3,M2,L2,D,0,7,0
F,11,10,2,M1,S0,M0,L1,B,0,4.37,0
F,10,10,2,M2,S1,M2,L4,D,0,2.74,0
F,1,6,2,H2,S1,M3,L3,D,3,2,0
F,1,4,2,H1,S3,M2,L1,D,4,1,0
F,7,4,2,H2,S2,M3,L1,D,4,1,0
F,2,2,2,M1,S5,M1,L1,B,0,1,0
F,5,8,2,C,S2,M2,L2,D,0,1,0
F,9,0,2,M2,S1,M2,L3,D,1,2,0
P,5,10,2,M1,S5,M2,L2,B,1,1,0
F,11,0,2,M2,S2,M2,L1,D,0,3,0
F,10,2,2,M1,S0,M1,L1,B,1,1,0
F,7,0,2,M2,S2,M1,L2,D,0,2,0
F,9,0,2,M1,S1,M2,L2,B,1,3,0
F,13,4,2,M1,S0,M1,L1,D,1,1,0
F,10,14,3,M1,S2,M2,L2,D,0,2,0
F,1,14,3,H1,S1,M2,L1,D,0,2.81,0
F,9,10,2,M1,S0,M0,L1,D,0,2,0
F,14,10,2,C,S0,M1,L4,B,0,1,0
P,3,4,2,H2,S5,M3,L1,D,3,1,0
F,10,6,2,C,S2,M1,L1,B,0,3,0
F,4,2,3,H2,S1,M2,L2,D,2,1,0
F,9,6,2,M2,S2,M1,L1,B,0,1,0
P,6,4,2,M2,S1,M1,L2,D,0,1,0
P,14,2,2,H1,S5,M2,L2,D,1,0.13,0
F,9,4,2,H1,S3,M2,L4,D,0,1,0
F,1,4,3,M1,S2,M1,L3,D,0,1,0
F,6,10,3,M1,S1,M2,L1,B,0,1,0
P,1,0,2,H1,S2,M1,L1,D,2,1,0
F,11,14,1,M2,S2,M2,L1,B,0,0.97,0
P,12,2,2,M2,S1,M1,L1,E,1,1,0
F,1,10,2,H1,S2,M3,L2,B,1,2.86,0
F,1,14,2,C,S3,M1,L3,D,0,1,0
F,5,10,2,H1,S2,M2,L2,D,1,1.14,0
F,6,10,2,C,S1,M1,L3,B,0,1,0
F,9,8,2,M1,S3,M1,L3,D,0,1,0
F,5,10,2,M2,S1,M1,L2,B,0,1,0
F,3,4,2,M2,S1,M3,L3,D,1,2.38,0
P,3,6,2,M1,S3,M1,L2,D,0,2,0
P,10,14,2,M1,S2,M1,L1,D,0,1,0
F,1,4,2,H2,S1,M2,L2,D,4,1,0
F,2,4,2,M2,S2,M2,L2,D,2,0.12,0
F,8,20,3,H1,S3,M2,L1,B,0,0.5,0
P,3,0,2,M1,S2,M2,L3,D,0,1,0
F,6,0,2,M1,S2,M2,L2,B,3,1,0
F,8,20,2,M1,S2,M3,L1,B,0,1,0
P,11,4,2,M1,S5,M1,L3,B,0,0.09,0
F,1,14,2,C,S0,M1,L2,B,0,3,0
F,13,4,2,M2,S2,M1,L2,D,0,3.5,0
P,3,0,2,M2,S2,M1,L1,D,2,1,0
F,10,4,2,M2,S0,M3,L2,B,1,1.36,0
F,2,10,3,M1,S3,M1,L2,D,0,2,0
P,1,10,2,H1,S5,M3,L2,D,1,2,0
F,7,6,2,M1,S1,M1,L4,B,2,1,0
P,7,6,2,H1,S1,M2,L2,D,0,1.27,0
F,6,2,2,M2,S1,M2,L1,D,3,1,0
F,1,10,2,M2,S0,M2,L2,D,0,1.84,0
F,8,0,2,H1,S3,M2,L1,D,2,2,0
F,12,4,2,H1,S1,M3,L3,D,0,0.15,0
P,8,0,2,H1,S5,M2,L3,E,0,1,0
F,14,4,2,H1,S3,M3,L2,D,0,1,0
F,3,14,3,H1,S1,M2,L2,B,0,0.55,0
F,1,0,2,H2,S5,M3,L2,B,4,1,0
P,14,6,2,M1,S1,M1,L3,D,0,0.37,0
F,10,6,3,M1,S1,M2,L2,B,0,1,0
F,13,2,2,M2,S2,M2,L1,D,0,1,0
F,5,10,3,H1,S3,M2,L3,D,0,0.72,0
F,13,4,2,M1,S5,M1,L3,D,0,1,0
F,1,0,3,M1,S3,M2,L1,B,0,1,0
F,11,2,2,M1,S0,M1,L4,D,0,1,0
F,2,0,2,M1,S1,M1,L4,D,0,1,0
F,3,0,3,M2,S1,M2,L1,B,3,0.08,0
F,2,10,2,M1,S2,M0,L2,B,0,15.43,0
F,11,14,2,C,S2,M0,L2,B,0,97.56,3
F,11,14,2,C,S3,M0,L2,B,0,19.26,1
P,2,2,2,M1,S3,M1,L1,B,0,11.56,0
F,1,2,2,M2,S3,M2,L2,D,3,18.21,1
F,7,14,2,M2,S2,M2,L2,D,0,16.76,1
F,1,10,2,M2,S1,M2,L1,D,0,189.85,4
F,12,4,2,M1,S0,M1,L2,D,0,11.98,1
P,1,10,3,M1,S5,M1,L1,D,0,2,0
F,1,20,2,M2,S3,M1,L1,B,0,48.59,1
F,1,4,2,M1,S2,M2,L2,B,1,25.8,1
F,10,14,2,M1,S2,M0,L2,D,0,26.64,1
F,2,14,2,M2,S2,M2,L1,B,0,15.87,0
F,6,2,2,H2,S1,M3,L3,D,3,1,0
P,14,0,2,M1,S5,M1,L2,B,0,4,0
F,2,10,2,H1,S1,M3,L4,D,0,1,0
F,1,10,2,C,S3,M1,L2,D,0,7.67,0
F,2,2,2,M2,S1,M2,L2,B,1,7,0
F,14,2,2,H2,S2,M3,L2,D,2,0.12,0
F,7,10,2,C,S1,M1,L3,B,0,2.58,0
F,5,4,2,M1,S2,M2,L1,B,0,8,0
F,6,10,2,M2,S3,M1,L2,D,0,4,0
F,1,2,2,H1,S0,M3,L1,D,1,1,0
F,3,8,2,M2,S2,M2,L3,D,0,9.11,0
F,3,2,2,M1,S2,M1,L2,D,1,4.73,0
F,1,20,2,M1,S1,M0,L1,B,0,34.92,0
F,1,2,2,M1,S2,M1,L3,D,1,9.83,0
F,5,2,3,M2,S5,M2,L3,D,0,1,0
F,6,2,2,M1,S1,M1,L1,B,0,23.29,1
F,10,20,2,C,S1,M0,L1,D,0,11.68,0
F,14,14,2,H1,S2,M3,L2,D,0,4.24,0
F,8,8,2,M2,S3,M2,L2,D,0,2,0
F,8,0,2,M1,S3,M2,L1,B,0,1,0
F,14,2,2,M2,S2,M1,L3,D,1,1.73,0
F,1,20,2,H1,S3,M3,L2,B,0,4.18,0
F,13,20,1,M2,S1,M2,L2,B,0,0.73,0
P,13,0,2,H2,S2,M3,L2,D,3,1,0
F,5,10,2,M2,S1,M2,L2,B,0,11.8,0
F,9,20,2,C,S2,M0,L3,B,0,0.84,0
F,10,0,2,H1,S2,M2,L2,D,2,1,0
F,13,6,2,M2,S3,M2,L1,D,0,0.12,0
F,3,2,2,M2,S3,M1,L2,D,1,2.46,0
F,6,4,2,M2,S2,M1,L3,D,0,7.69,0
F,1,2,2,M1,S2,M2,L2,D,1,2.78,0
F,8,10,2,C,S2,M1,L2,D,0,2,0
F,4,8,2,M2,S2,M1,L2,D,1,2,0
F,1,10,2,H1,S1,M2,L3,D,0,7.59,0
F,12,2,2,M2,S2,M2,L2,D,0,5,0
F,6,8,2,M1,S1,M1,L3,B,0,9.81,0
F,5,10,2,M2,S2,M1,L1,E,0,1,0
F,2,8,3,M1,S3,M2,L2,D,0,2,0
F,4,8,2,M2,S5,M2,L3,D,0,1.26,0
F,1,14,3,M1,S1,M1,L2,B,0,16.43,0
F,14,6,2,C,S2,M0,L3,B,0,0.35,0
F,1,10,2,M1,S5,M1,L1,D,0,4,0
F,1,0,2,M2,S1,M2,L2,B,0,3,0
F,10,10,2,H1,S2,M3,L3,D,0,0.85,0
F,2,0,2,H2,S2,M2,L1,D,3,2,0
P,2,2,2,M2,S2,M1,L2,D,1,2,0
F,12,0,2,M1,S1,M1,L2,B,3,1,0
F,14,20,2,C,S2,M2,L1,D,0,1,0
F,6,10,2,M2,S1,M2,L2,D,1,14.82,1
F,12,6,2,M2,S2,M2,L2,D,0,7.96,0
F,11,8,2,M2,S1,M2,L3,B,0,0.11,0
F,6,8,2,H1,S1,M2,L2,D,1,5.14,0
F,4,0,2,M1,S1,M1,L1,D,1,4,0
F,5,10,3,H1,S3,M2,L2,D,0,1,0
F,2,20,2,C,S1,M1,L4,B,0,1,0
P,3,4,2,M1,S2,M2,L1,D,0,1,0
F,1,2,2,M2,S1,M3,L3,D,1,3.53,0
F,5,0,2,M2,S1,M1,L1,D,2,2,0
F,3,4,2,M1,S0,M2,L3,D,0,0.09,0
F,13,20,2,M2,S0,M1,L2,D,0,0.25,0
F,10,20,2,M1,S1,M1,L2,D,0,9,0
F,2,6,2,M2,S2,M2,L2,D,2,3,0
F,1,4,3,M1,S1,M2,L2,B,0,4.96,0
P,1,10,2,H1,S5,M2,L3,D,0,1,0
F,12,14,2,M1,S3,M0,L3,D,0,1,0
F,4,6,2,M2,S1,M2,L2,B,0,2.79,0
F,7,10,2,M1,S1,M2,L2,D,0,22.38,1
P,11,8,2,H1,S5,M2,L2,D,1,0.24,0
F,14,8,2,H1,S5,M3,L2,D,1,0.31,0
F,5,4,2,H1,S1,M2,L1,D,1,3,0
P,14,20,2,C,S5,M0,L2,B,0,1,0
F,1,8,2,H1,S2,M3,L1,D,1,2.59,0
F,2,0,2,M2,S3,M1,L2,D,3,0.25,0
F,12,8,2,C,S0,M0,L1,B,0,2.97,0
F,1,10,2,C,S1,M1,L3,B,0,1.16,0
F,7,8,2,M2,S1,M2,L2,B,1,1,0
F,8,10,2,C,S1,M1,L4,B,0,2,0
F,11,4,2,M1,S1,M1,L4,D,0,2,0
P,14,20,2,M1,S5,M0,L1,B,0,1,0
P,3,0,2,M1,S1,M1,L2,B,0,6,0
F,5,6,2,C,S1,M0,L1,B,0,0.77,0
F,1,20,3,C,S2,M1,L1,D,0,2.6,0
F,6,8,3,M2,S1,M2,L1,D,0,1,0
F,11,20,1,C,S0,M0,L1,B,0,1,0
P,1,2,2,M2,S3,M2,L1,D,1,1,0
F,11,8,2,M1,S2,M2,L1,B,0,1.22,0
F,9,10,2,M1,S0,M2,L1,B,1,1,0
P,14,0,3,H1,S5,M2,L1,D,2,3,0
F,5,14,2,H1,S1,M3,L1,D,1,0.72,0
F,5,2,2,H2,S2,M3,L3,D,1,2,0
P,12,6,2,M1,S2,M1,L2,B,0,1,0
F,2,4,2,M2,S3,M2,L1,B,0,1.22,0
P,11,2,2,M1,S1,M1,L1,B,0,3.34,0
F,1,10,1,C,S3,M3,L1,B,0,0.4,0
P,3,0,2,H2,S5,M3,L2,D,0,0.64,0
F,6,2,2,M1,S1,M1,L3,D,2,1.17,0
F,1,0,2,H1,S2,M3,L3,D,1,1.97,0
P,11,2,2,M2,S5,M2,L1,D,0,1,0
F,13,6,2,M1,S0,M1,L2,B,1,1,0
F,15,8,2,H1,S0,M2,L2,D,1,0.86,0
F,2,2,3,M2,S5,M2,L3,D,0,2,0
F,1,0,2,M2,S1,M2,L3,B,0,1,0
F,9,2,2,H1,S0,M2,L3,D,0,1.97,0
F,2,6,2,H2,S1,M3,L3,D,4,1,0
F,2,2,3,M1,S2,M1,L2,B,0,1,0
F,2,20,2,M2,S2,M1,L1,B,0,2,0
F,3,10,2,M2,S1,M2,L1,B,1,1.37,0
F,3,2,2,M1,S5,M1,L1,D,0,1,0
F,1,2,2,M2,S1,M3,L1,D,0,1.98,0
F,5,2,2,M2,S3,M2,L1,B,0,1,0
P,2,0,2,M2,S5,M1,L1,D,0,0.5,0
F,8,20,3,H1,S3,M1,L1,B,0,1,0
F,14,6,2,M1,S2,M0,L1,D,0,1,0
P,1,0,2,M2,S2,M1,L1,B,4,1,0
F,4,20,2,H1,S2,M2,L2,D,0,3,0
F,1,8,2,H1,S0,M3,L2,B,0,1,0
F,9,0,2,M2,S3,M2,L1,B,2,1,0
F,14,2,2,M1,S1,M1,L1,D,0,1.27,0
F,7,2,2,H1,S3,M2,L3,D,2,1,0
P,1,2,2,H2,S1,M3,L3,D,2,2.73,0
F,10,14,3,H2,S0,M3,L2,B,2,0.16,0
F,5,6,2,M1,S3,M0,L2,D,0,2,0
F,5,4,2,M2,S2,M1,L2,D,3,0.66,0
P,3,6,2,M2,S2,M2,L2,D,1,1,0
F,2,4,2,M1,S5,M1,L2,D,0,2,0
F,8,0,2,H1,S1,M2,L1,D,1,1,0
F,10,10,2,M2,S1,M1,L2,B,0,0.54,0
F,1,8,2,C,S2,M2,L1,D,0,2,0
F,11,6,2,H1,S1,M2,L2,D,3,1,0
F,6,0,2,H1,S1,M3,L2,D,1,1,0
P,14,6,2,H2,S2,M3,L2,D,4,0.87,0
P,12,4,2,H2,S5,M3,L1,B,1,1,0
F,1,6,2,M1,S1,M1,L1,D,2,1,0
P,11,2,2,H2,S5,M3,L1,D,1,1,0
F,14,14,2,C,S1,M1,L4,B,0,1,0
F,4,10,2,M1,S5,M1,L2,D,0,0.64,0
F,8,4,2,H1,S0,M2,L3,D,2,0.72,0
P,14,6,2,M1,S1,M2,L2,B,0,0.44,0
F,2,6,2,H2,S3,M3,L2,D,4,0.23,0
F,14,10,2,M1,S1,M3,L2,B,0,0.15,0
P,3,4,3,M1,S2,M1,L2,D,0,1,0
F,14,4,1,M1,S1,M1,L2,B,0,1,0
F,5,4,2,H2,S3,M3,L2,D,4,1,0
F,11,10,3,H1,S3,M2,L2,D,0,0.5,0
P,1,6,2,M1,S2,M1,L4,B,0,1,0
F,8,4,2,M1,S2,M1,L1,B,1,1,0
F,1,0,2,M2,S3,M1,L3,D,0,1,0
F,4,2,2,H1,S2,M3,L3,D,0,1,0
F,13,20,2,M1,S5,M1,L1,B,0,1,0
F,1,2,2,H2,S2,M3,L1,B,4,1,0
F,14,10,3,M1,S1,M1,L1,B,0,1,0
F,5,0,2,M2,S1,M2,L1,B,0,1,0
F,2,14,2,M1,S2,M0,L1,B,0,44.18,1
F,6,6,2,M1,S2,M1,L2,D,0,44.4,2
F,1,0,2,M1,S3,M2,L1,B,1,12.95,0
F,3,2,2,M1,S2,M1,L3,D,0,25.82,1
F,1,14,2,M2,S3,M1,L1,D,0,113.7,3
F,1,0,2,M2,S2,M2,L3,D,3,4.71,0
F,8,20,2,C,S2,M0,L2,D,0,3.14,0
F,7,14,2,M1,S2,M1,L1,D,0,28.7,1
F,14,14,2,M1,S0,M0,L4,D,0,1.73,0
F,1,10,3,M1,S2,M1,L1,D,0,43.3,1
F,3,14,2,M1,S3,M0,L1,B,0,23.32,1
F,1,10,2,C,S1,M1,L2,B,0,143.34,3
P,9,6,2,M2,S5,M1,L2,D,0,1.92,0
F,1,2,2,M2,S1,M2,L4,D,0,6.51,0
F,4,8,2,M2,S2,M2,L2,D,0,72.76,3
F,1,8,2,M2,S2,M1,L2,E,0,13.87,0
F,9,2,2,M1,S2,M1,L2,B,1,3,0
P,12,8,2,H1,S5,M2,L2,D,0,1.83,0
F,2,0,2,H1,S2,M2,L1,D,3,3,0
F,11,2,2,M2,S0,M1,L2,D,1,2.33,0
F,10,10,2,M1,S2,M0,L2,D,0,16.79,1
F,3,20,2,C,S2,M1,L1,B,0,12.46,0
F,4,2,2,M2,S1,M2,L2,D,0,24.47,1
F,6,10,2,M2,S1,M3,L2,B,0,3.25,0
F,8,6,2,M2,S2,M1,L2,D,0,11,0
F,14,10,2,H1,S0,M2,L2,D,1,7.19,1
F,11,10,2,M1,S0,M1,L2,B,1,2.68,0
F,7,0,2,M2,S2,M1,L2,B,1,0.86,0
F,3,8,2,M2,S1,M1,L4,D,0,2,0
P,1,4,3,M2,S2,M1,L2,D,0,1,0
F,6,6,2,M2,S1,M2,L2,B,0,4.68,0
F,1,10,1,H1,S1,M2,L2,D,0,0.52,0
P,1,6,2,M2,S2,M2,L3,D,0,1.32,0
P,13,4,2,M1,S1,M1,L3,D,0,2.19,0
F,2,0,2,M1,S2,M1,L1,D,2,4.66,0
F,6,14,2,H1,S1,M3,L2,D,0,3.16,0
F,8,20,2,C,S1,M3,L1,B,0,1,0
P,9,8,2,M1,S2,M1,L1,D,0,1,0
F,11,20,2,C,S0,M0,L2,B,0,6.49,0
F,11,10,2,C,S2,M1,L1,B,0,24.74,1
F,2,10,3,M2,S3,M2,L2,D,0,2.64,0
P,1,0,2,H1,S5,M2,L1,E,2,0.14,0
F,10,8,2,M1,S2,M2,L2,B,0,4.25,0
F,1,6,2,H1,S2,M3,L1,B,0,1,0
F,3,20,2,C,S0,M0,L1,B,0,0.97,0
F,7,6,2,M1,S1,M1,L2,D,2,0.43,0
F,5,20,2,M2,S3,M1,L1,B,0,2,0
F,13,8,2,M1,S2,M1,L3,D,0,1.27,0
P,1,20,2,C,S3,M0,L1,B,0,2,0
F,4,14,2,M2,S1,M1,L4,D,0,2.66,0
P,1,6,2,M2,S5,M3,L1,B,1,1,0
F,12,4,2,M2,S2,M2,L2,D,0,2.83,0
P,2,0,2,M2,S3,M2,L2,D,5,1,0
F,10,20,1,C,S2,M1,L4,B,0,1,0
P,8,2,2,H1,S5,M2,L3,D,2,1,0
F,5,0,2,M1,S3,M2,L2,D,0,1,0
F,14,14,2,M2,S1,M1,L2,D,1,3.05,0
